name,height,dob
Koda Glover,"6'5""",4/13/93
Gio Gonzalez,"6'0""",9/19/85
Matt Grace,"6'4""",12/14/88
Jeremy Hellickson,"6'1""",4/8/87
Greg Holland,"5'10""",11/20/85
Ryan Madson,"6'6""",8/28/80
Justin Miller,"6'3""",6/13/87
Tommy Milone,"6'0""",2/16/87
Tanner Roark,"6'2""",10/5/86
Max Scherzer,"6'3""",7/27/84
Sammy Solis,"6'5""",8/10/88
Wander Suero,"6'4""",9/15/91
Spencer Kieboom,"6'0""",3/16/91
Matt Wieters,"6'5""",5/21/86
Matt Adams,"6'3""",8/31/88
Wilmer Difo,"5'11""",4/2/92
Daniel Murphy,"6'1""",4/1/85
Anthony Rendon,"6'1""",6/6/90
Mark Reynolds,"6'2""",8/3/83
Trea Turner,"6'2""",6/30/93
Ryan Zimmerman,"6'3""",9/28/84
Adam Eaton,"5'9""",12/6/88
Bryce Harper,"6'3""",10/16/92
Juan Soto,"6'1""",10/25/98
Michael A. Taylor,"6'4""",3/26/91
